[08/15/20 18:55:32] [INFO] received Windows console close event; shutting log-core down
[08/15/20 18:57:47] [INFO] received Windows console close event; shutting log-core down
[08/15/20 19:02:13] [INFO] received Windows console close event; shutting log-core down
[08/15/20 19:12:03] [INFO] received Windows console close event; shutting log-core down
[08/15/20 19:19:52] [INFO] received Windows console close event; shutting log-core down
[08/15/20 19:49:36] [INFO] received Windows console close event; shutting log-core down
[08/15/20 20:06:17] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[08/15/20 20:06:44] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[08/15/20 20:07:39] [INFO] received Windows console close event; shutting log-core down
[08/15/20 21:01:14] [INFO] received Windows console close event; shutting log-core down
[08/15/20 21:02:08] [INFO] received Windows console close event; shutting log-core down
[08/15/20 23:12:27] [INFO] received Windows console close event; shutting log-core down
[08/16/20 00:36:07] [INFO] received Windows console close event; shutting log-core down
[08/25/20 19:56:12] [INFO] received Windows console close event; shutting log-core down
[08/25/20 22:25:53] [INFO] received Windows console close event; shutting log-core down
[08/25/20 22:30:29] [INFO] received Windows console close event; shutting log-core down
[08/25/20 22:37:17] [INFO] received Windows console close event; shutting log-core down
[08/25/20 22:39:38] [INFO] received Windows console close event; shutting log-core down
[08/26/20 11:44:55] [INFO] received Windows console close event; shutting log-core down
[08/26/20 11:48:02] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:28:02] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:38:38] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:40:52] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:41:18] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:46:25] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:47:31] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:49:57] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:51:17] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:55:23] [INFO] received Windows console close event; shutting log-core down
[08/26/20 12:57:36] [INFO] received Windows console close event; shutting log-core down
